Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF 50V","C_1206_3216Metric",134.950000,-90.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",173.650000,-63.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",160.750000,-63.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",96.250000,-90.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",147.850000,-63.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",134.950000,-63.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",122.050000,-63.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",147.850000,-117.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",109.150000,-63.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",147.850000,-90.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",122.050000,-90.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",160.750000,-90.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",173.650000,-90.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",109.150000,-90.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",96.250000,-117.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",122.050000,-117.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",160.750000,-117.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",173.650000,-117.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",134.950000,-117.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",109.150000,-117.400000,0.000000,top
"C1","4.7uF 50V","C_1206_3216Metric",96.250000,-63.400000,0.000000,top
"D1","LED","LED_PLCC_2835",173.650000,-81.400000,90.000000,top
"D1","LED","LED_PLCC_2835",160.750000,-54.400000,90.000000,top
"D1","LED","LED_PLCC_2835",147.850000,-54.400000,90.000000,top
"D1","LED","LED_PLCC_2835",134.950000,-54.400000,90.000000,top
"D1","LED","LED_PLCC_2835",122.050000,-54.400000,90.000000,top
"D1","LED","LED_PLCC_2835",173.650000,-54.400000,90.000000,top
"D1","LED","LED_PLCC_2835",109.150000,-54.400000,90.000000,top
"D1","LED","LED_PLCC_2835",96.250000,-54.400000,90.000000,top
"D1","LED","LED_PLCC_2835",96.250000,-81.400000,90.000000,top
"D1","LED","LED_PLCC_2835",122.050000,-81.400000,90.000000,top
"D1","LED","LED_PLCC_2835",134.950000,-81.400000,90.000000,top
"D1","LED","LED_PLCC_2835",109.150000,-81.400000,90.000000,top
"D1","LED","LED_PLCC_2835",147.850000,-81.400000,90.000000,top
"D1","LED","LED_PLCC_2835",160.750000,-81.400000,90.000000,top
"D1","LED","LED_PLCC_2835",96.250000,-108.400000,90.000000,top
"D1","LED","LED_PLCC_2835",122.050000,-108.400000,90.000000,top
"D1","LED","LED_PLCC_2835",134.950000,-108.400000,90.000000,top
"D1","LED","LED_PLCC_2835",147.850000,-108.400000,90.000000,top
"D1","LED","LED_PLCC_2835",109.150000,-108.400000,90.000000,top
"D1","LED","LED_PLCC_2835",160.750000,-108.400000,90.000000,top
"D1","LED","LED_PLCC_2835",173.650000,-108.400000,90.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",108.000000,-134.400000,0.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",183.500000,-68.400000,0.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",96.500000,-42.900000,0.000000,top
